BRK IMP,ORA INDX,- -,- -,- -,ORA ZP,ASL ZP,- -,PHP IMP,ORA IMM,ASLA IMP,- -,- -,ORA ABS,ASL ABS,- -
BPL IMM,ORA INDY,- -,- -,- -,ORA ZPX,ASL ZPX,- -,CLC IMP,ORA ABSY,- -,- -,- -,ORA ABSX,ASL ABSX,- -
JSR ABS,AND INDX,- -,- -,BIT ZP,AND ZP,ROL ZP,- -,PLP IMP,AND IMM,ROLA IMP,- -,BIT ABS,AND ABS,ROL ABS,- -
BMI IMM,AND INDY,- -,- -,- -,AND ZPX,ROL ZPX,- -,SEC IMP,AND ABSY,- -,- -,- -,AND ABSX,ROL ABSX,- -
RTI IMP,EOR INDX,- -,- -,- -,EOR ZP,LSR ZP,- -,PHA IMP,EOR IMM,LSRA IMP,- -,JMP ABS,EOR ABS,LSR ABS,- -
BVC IMM,EOR INDY,- -,- -,- -,EOR ZPX,LSR ZPX,- -,CLI IMP,EOR ABSY,- -,- -,- -,EOR ABSX,LSR ABSX,- -
RTS IMP,ADC INDX,- -,- -,- -,ADC ZP,ROR ZP,- -,PLA IMP,ADC IMM,RORA IMP,- -,JMP IND,ADC ABS,ROR ABS,- -
BVS IMM,ADC INDY,- -,- -,- -,ADC ZPX,ROR ZPX,- -,SEI IMP,ADC ABSY,- -,- -,- -,ADC ABSX,ROR ABSX,- -
- -,STA INDX,- -,- -,STY ZP,STA ZP,STX ZP,- -,DEY IMP,- -,TXA IMP,- -,STY ABS,STA ABS,STX ABS,- -
BCC IMM,STA INDY,- -,- -,STY ZPX,STA ZPX,STX ZPY,- -,TYA IMP,STA ABSY,TXS IMP,- -,- -,STA ABSX,- -,- -
LDY IMM,LDA INDX,LDX IMM,- -,LDY ZP,LDA ZP,LDX ZP,- -,TAY IMP,LDA IMM,TAX IMP,- -,LDY ABS,LDA ABS,LDX ABS,- -
BCS IMM,LDA INDY,- -,- -,LDY ZPX,LDA ZPX,LDX ZPY,- -,CLV IMP,LDA ABSY,TSX IMP,- -,LDY ABSX,LDA ABSX,LDX ABSY,- -
CPY IMM,CMP INDX,- -,- -,CPY ZP,CMP ZP,DEC ZP,- -,INY IMP,CMP IMM,DEX IMP,- -,CPY ABS,CMP ABS,DEC ABS,- -
BNE IMM,CMP INDY,- -,- -,- -,CMP ZPX,DEC ZPX,- -,CLD IMP,CMP ABSY,- -,- -,- -,CMP ABSX,DEC ABSX,- -
CPX IMM,SBC INDX,- -,- -,CPX ZP,SBC ZP,INC ZP,- -,INX IMP,SBC IMM,NOP IMP,- -,CPX ABS,SBC ABS,INC ABS,- -
BEQ IMM,SBC INDY,- -,- -,- -,SBC ZPX,INC ZPX,- -,SED IMP,SBC ABSY,- -,- -,- -,SBC ABSX,INC ABSX,HLT IMP
